2009-04-20 03:01:23 status half-installed base-passwd 3.5.21
2009-04-20 03:01:23 status half-installed base-passwd 3.5.21
2009-04-20 03:01:23 status unpacked base-passwd 3.5.21
2009-04-20 03:01:23 status unpacked base-passwd 3.5.21
2009-04-20 03:01:23 install bash <none> 3.2-5ubuntu1
2009-04-20 03:01:23 status half-installed bash 3.2-5ubuntu1
2009-04-20 03:01:24 status unpacked bash 3.2-5ubuntu1
2009-04-20 03:01:24 status unpacked bash 3.2-5ubuntu1
2009-04-20 03:01:24 install bsdutils <none> 1:2.14.2-1ubuntu4
2009-04-20 03:01:24 status half-installed bsdutils 1:2.14.2-1ubuntu4
2009-04-20 03:01:24 status unpacked bsdutils 1:2.14.2-1ubuntu4
2009-04-20 03:01:24 status unpacked bsdutils 1:2.14.2-1ubuntu4
2009-04-20 03:01:24 install coreutils <none> 6.10-6ubuntu1
2009-04-20 03:01:24 status half-installed coreutils 6.10-6ubuntu1
2009-04-20 03:01:27 status unpacked coreutils 6.10-6ubuntu1
2009-04-20 03:01:27 status unpacked coreutils 6.10-6ubuntu1
2009-04-20 03:01:27 install dash <none> 0.5.4-12ubuntu2
2009-04-20 03:01:27 status half-installed dash 0.5.4-12ubuntu2
2009-04-20 03:01:27 status unpacked dash 0.5.4-12ubuntu2
2009-04-20 03:01:27 status unpacked dash 0.5.4-12ubuntu2
2009-04-20 03:01:27 upgrade debconf 1.5.26ubuntu3 1.5.26ubuntu3
2009-04-20 03:01:27 status half-configured debconf 1.5.26ubuntu3
2009-04-20 03:01:27 status unpacked debconf 1.5.26ubuntu3
2009-04-20 03:01:27 status half-installed debconf 1.5.26ubuntu3
2009-04-20 03:01:28 status half-installed debconf 1.5.26ubuntu3
2009-04-20 03:01:28 status unpacked debconf 1.5.26ubuntu3
2009-04-20 03:01:28 status unpacked debconf 1.5.26ubuntu3
2009-04-20 03:01:28 install debconf-i18n <none> 1.5.26ubuntu3
2009-04-20 03:01:28 status half-installed debconf-i18n 1.5.26ubuntu3
2009-04-20 03:01:29 status unpacked debconf-i18n 1.5.26ubuntu3
2009-04-20 03:01:29 status unpacked debconf-i18n 1.5.26ubuntu3
2009-04-20 03:01:29 install debianutils <none> 2.30ubuntu3
2009-04-20 03:01:29 status half-installed debianutils 2.30ubuntu3
2009-04-20 03:01:29 status unpacked debianutils 2.30ubuntu3
2009-04-20 03:01:29 status unpacked debianutils 2.30ubuntu3
2009-04-20 03:01:29 install diff <none> 2.8.1-12ubuntu1
2009-04-20 03:01:29 status half-installed diff 2.8.1-12ubuntu1
2009-04-20 03:01:29 status unpacked diff 2.8.1-12ubuntu1
2009-04-20 03:01:29 status unpacked diff 2.8.1-12ubuntu1
2009-04-20 03:01:30 upgrade dpkg 1.14.24ubuntu1 1.14.24ubuntu1
2009-04-20 03:01:30 status half-configured dpkg 1.14.24ubuntu1
2009-04-20 03:01:30 status unpacked dpkg 1.14.24ubuntu1
2009-04-20 03:01:30 status half-installed dpkg 1.14.24ubuntu1
2009-04-20 03:01:31 status half-installed dpkg 1.14.24ubuntu1
2009-04-20 03:01:31 status unpacked dpkg 1.14.24ubuntu1
2009-04-20 03:01:31 status unpacked dpkg 1.14.24ubuntu1
2009-04-20 03:01:32 install e2fslibs <none> 1.41.4-1ubuntu1
2009-04-20 03:01:32 status half-installed e2fslibs 1.41.4-1ubuntu1
2009-04-20 03:01:32 status unpacked e2fslibs 1.41.4-1ubuntu1
2009-04-20 03:01:32 status unpacked e2fslibs 1.41.4-1ubuntu1
2009-04-20 03:01:32 install e2fsprogs <none> 1.41.4-1ubuntu1
2009-04-20 03:01:32 status half-installed e2fsprogs 1.41.4-1ubuntu1
2009-04-20 03:01:32 status unpacked e2fsprogs 1.41.4-1ubuntu1
2009-04-20 03:01:32 status unpacked e2fsprogs 1.41.4-1ubuntu1
2009-04-20 03:01:32 install findutils <none> 4.4.0-2ubuntu3
2009-04-20 03:01:32 status half-installed findutils 4.4.0-2ubuntu3
2009-04-20 03:01:33 status unpacked findutils 4.4.0-2ubuntu3
2009-04-20 03:01:33 status unpacked findutils 4.4.0-2ubuntu3
2009-04-20 03:01:33 install gcc-4.3-base <none> 4.3.3-5ubuntu4
2009-04-20 03:01:33 status half-installed gcc-4.3-base 4.3.3-5ubuntu4
2009-04-20 03:01:33 status unpacked gcc-4.3-base 4.3.3-5ubuntu4
2009-04-20 03:01:33 status unpacked gcc-4.3-base 4.3.3-5ubuntu4
2009-04-20 03:01:33 install grep <none> 2.5.3~dfsg-6ubuntu1
2009-04-20 03:01:33 status half-installed grep 2.5.3~dfsg-6ubuntu1
2009-04-20 03:01:34 status unpacked grep 2.5.3~dfsg-6ubuntu1
2009-04-20 03:01:34 status unpacked grep 2.5.3~dfsg-6ubuntu1
2009-04-20 03:01:34 install gzip <none> 1.3.12-6ubuntu2
2009-04-20 03:01:34 status half-installed gzip 1.3.12-6ubuntu2
2009-04-20 03:01:34 status unpacked gzip 1.3.12-6ubuntu2
2009-04-20 03:01:34 status unpacked gzip 1.3.12-6ubuntu2
2009-04-20 03:01:34 install hostname <none> 2.95
2009-04-20 03:01:34 status half-installed hostname 2.95
2009-04-20 03:01:34 status unpacked hostname 2.95
2009-04-20 03:01:34 status unpacked hostname 2.95
2009-04-20 03:01:34 install initscripts <none> 2.86.ds1-61ubuntu11
2009-04-20 03:01:34 status half-installed initscripts 2.86.ds1-61ubuntu11
2009-04-20 03:01:35 status unpacked initscripts 2.86.ds1-61ubuntu11
2009-04-20 03:01:35 status unpacked initscripts 2.86.ds1-61ubuntu11
2009-04-20 03:01:35 install libacl1 <none> 2.2.47-2
2009-04-20 03:01:35 status half-installed libacl1 2.2.47-2
2009-04-20 03:01:35 status unpacked libacl1 2.2.47-2
2009-04-20 03:01:35 status unpacked libacl1 2.2.47-2
2009-04-20 03:01:35 install libattr1 <none> 1:2.4.43-1
2009-04-20 03:01:35 status half-installed libattr1 1:2.4.43-1
2009-04-20 03:01:35 status unpacked libattr1 1:2.4.43-1
2009-04-20 03:01:35 status unpacked libattr1 1:2.4.43-1
2009-04-20 03:01:35 install libblkid1 <none> 1.41.4-1ubuntu1
2009-04-20 03:01:35 status half-installed libblkid1 1.41.4-1ubuntu1
2009-04-20 03:01:35 status unpacked libblkid1 1.41.4-1ubuntu1
2009-04-20 03:01:35 status unpacked libblkid1 1.41.4-1ubuntu1
2009-04-20 03:01:36 upgrade libc6 2.9-4ubuntu6 2.9-4ubuntu6
2009-04-20 03:01:36 status half-configured libc6 2.9-4ubuntu6
2009-04-20 03:01:36 status unpacked libc6 2.9-4ubuntu6
2009-04-20 03:01:36 status half-installed libc6 2.9-4ubuntu6
2009-04-20 03:01:42 status half-installed libc6 2.9-4ubuntu6
2009-04-20 03:01:42 status unpacked libc6 2.9-4ubuntu6
2009-04-20 03:01:42 status unpacked libc6 2.9-4ubuntu6
2009-04-20 03:01:42 install libcomerr2 <none> 1.41.4-1ubuntu1
2009-04-20 03:01:42 status half-installed libcomerr2 1.41.4-1ubuntu1
2009-04-20 03:01:42 status unpacked libcomerr2 1.41.4-1ubuntu1
2009-04-20 03:01:42 status unpacked libcomerr2 1.41.4-1ubuntu1
2009-04-20 03:01:43 install libdb4.7 <none> 4.7.25-6ubuntu1
2009-04-20 03:01:43 status half-installed libdb4.7 4.7.25-6ubuntu1
2009-04-20 03:01:43 status unpacked libdb4.7 4.7.25-6ubuntu1
2009-04-20 03:01:43 status unpacked libdb4.7 4.7.25-6ubuntu1
2009-04-20 03:01:43 install libgcc1 <none> 1:4.3.3-5ubuntu4
2009-04-20 03:01:43 status half-installed libgcc1 1:4.3.3-5ubuntu4
2009-04-20 03:01:43 status unpacked libgcc1 1:4.3.3-5ubuntu4
2009-04-20 03:01:43 status unpacked libgcc1 1:4.3.3-5ubuntu4
2009-04-20 03:01:43 install liblocale-gettext-perl <none> 1.05-4build1
2009-04-20 03:01:43 status half-installed liblocale-gettext-perl 1.05-4build1
2009-04-20 03:01:43 status unpacked liblocale-gettext-perl 1.05-4build1
2009-04-20 03:01:43 status unpacked liblocale-gettext-perl 1.05-4build1
2009-04-20 03:01:43 install libncurses5 <none> 5.7+20090207-1ubuntu1
2009-04-20 03:01:43 status half-installed libncurses5 5.7+20090207-1ubuntu1
2009-04-20 03:01:44 status unpacked libncurses5 5.7+20090207-1ubuntu1
